Venue Type,Name,Address,City ,State,ZIP Code,Full Address,Community Areas,Community Areas
CBO,Access Doctors Medical Center,6240 W. 55th St.,Chicago,IL,60638,"6240 W. 55th St. Chicago, IL 60638",Garfield Ridge,Grand Boulevard
CBO,Access Evanston-Rogers Park,1555 W. Howard St.,Chicago,IL,60626,"1555 W. Howard St. Chicago, IL 60626",Rogers Park,
CBO,Access Grand Boulevard,5401 S. Wentworth Ave.,Chicago,IL,60609,"5401 S. Wentworth Ave. Chicago, IL 60609",Fuller Park,Chatham
CBO,Access Holy Cross,"2701 W. 69th Street, 3- South",Chicago,IL,60629,"2701 W. 69th Street, 3- South Chicago, IL 60629",Chicago Lawn,Roseland
CBO,Access Humboldt Park,3202 W. North Ave.,Chicago,IL,60647,"3202 W. North Ave. Chicago, IL 60647",Humboldt Park,
CBO,Access Kedzie,3213-21 W. 47th Place,Chicago,IL,60632,"3213-21 W. 47th Place Chicago, IL 60632",Brighton Park,Loop
CBO,Access Kling Professional Medical Center,2720 W. 15th Street,Chicago,IL,60608,"2720 W. 15th Street Chicago, IL 60608",North Lawndale,
CBO,Access Madison,3800 W. Madison,Chicago,IL,60624,"3800 W. Madison Chicago, IL 60624",West Garfield Park,
CBO,Access Medical Specialists,400 E. 41st Street,Chicago,IL,60653,"400 E. 41st Street Chicago, IL 60653",Grand Boulevard,
CBO,Access Near West,1158 W. Taylor,Chicago,IL,60607,"1158 W. Taylor Chicago, IL 60607",Near West Side,Englewood
CBO,Access Paul and Mimi Francis,3752 W. 16th St.,Chicago,IL,60623,"3752 W. 16th St. Chicago, IL 60623",North Lawndale,Calumet Heights
CBO,Access Peterson,2655 W. Peterson St.,Chicago,IL,60659,"2655 W. Peterson St. Chicago, IL 60659",West Ridge,Pullman
CBO,Access Plaza,2533 W. Cermak Rd.,Chicago,IL,60608,"2533 W. Cermak Rd. Chicago, IL 60608",South Lawndale,
CBO,Access Plaza Specialty Center,2507 W. Cermak Pd,Chicago,IL,60608,"2507 W. Cermak Pd Chicago, IL 60608",McKinley Park,
CBO,Access Plisen,1817 S. Loomis St.,Chicago,IL,60608,"1817 S. Loomis St. Chicago, IL 60608",McKinley Park,
CBO,Access Servicios Medicos,3303 W. 26th,Chicago,IL,60623,"3303 W. 26th Chicago, IL 60623",South Lawndale,Auburn Gresham
CBO,Access South State,5050 S. State St.,Chicago,IL,60609,"5050 S. State St. Chicago, IL 60609",Grand Boulevard,West Ridge
CBO,Access Southwest,4839 S. 47th St.,Chicago,IL,60638,"4839 S. 47th St. Chicago, IL 60638",Garfield Ridge,Fuller Park
CBO,Access Taylor,4501 S. State St.,Chicago,IL,60609,"4501 S. State St. Chicago, IL 60609",Grand Boulevard,
CBO,Access Warren,2409 W. Warren Blvd.,Chicago,IL,60612,"2409 W. Warren Blvd. Chicago, IL 60612",Near West Side,
CBO,Access West Division,4401 W. Division St.,Chicago,IL,60651,"4401 W. Division St. Chicago, IL 60651",Humboldt Park,Loop
Clinic,Advocate Hope Children's Hospital,4440 W. 95th St.,Chicago,IL,60453,"4440 W. 95th St. Chicago, IL 60453",Outside CCA,Logan Square
Clinic,Advocate Trinity Hospital,2320 E. 93rd St.,Chicago,IL,60617,"2320 E. 93rd St. Chicago, IL 60617",Calumet Heights,Loop
Church,AGAPE,2508 W. 69th,Chicago,IL,60629,"2508 W. 69th Chicago, IL 60629",Riverdale,Humbolt Park
CBO,AIDS Foundation of Chicago,"200 W. Jackson, Suite 2200",Chicago,IL,60606,"200 W. Jackson, Suite 2200 Chicago, IL 60606",Loop,Norwood Park
Clinic,Alexian Brothers / Bonaventure House,825 W Wellington,Chicago,IL,60657,"825 W Wellington Chicago, IL 60657",Lake View,Riverdale
CBO,Alivio Medial Center,966 W. 21st Street,Chicago,IL,60608,"966 W. 21st Street Chicago, IL 60608",McKinley Park,
CBO,Alivio Medical Center,2355 S. Western,Chicago,IL,60608,"2355 S. Western Chicago, IL 60608",Lower West Side,Rogers Park
Clinic,Altgeld Health Center,1029 E. 130th St.,Chicago,IL,60628,"1029 E. 130th St. Chicago, IL 60628",Riverdale,Archer Heights
CBO,American Indian Health Center,4081 N. Broadway,Chicago,IL,60613,"4081 N. Broadway Chicago, IL 60613",Lake View,Chicago Lawn
Bar/Club,Anvil,1137 N. Grandville,Chicago,IL,60660,"1137 N. Grandville Chicago, IL 60660",Edgewater,
CBO,Asian Human Services,4733 N. Broadway,Chicago,IL,60640,"4733 N. Broadway Chicago, IL 60640",Uptown,West Elsdon
Beauty/Barber Shop,At the Barbershop,346 E. 47th Street,Chicago,IL,60653,"346 E. 47th Street Chicago, IL 60653",Grand Boulevard,
Hair Studio,Attractions Hair Salon,3627 W. Armitage,Chicago,IL,60647,"3627 W. Armitage Chicago, IL 60647",Logan Square,Humbolt Park
CBO,Austin CBC,4800 W. Chicago Ave.,Chicago,IL,60615,"4800 W. Chicago Ave. Chicago, IL 60615",Rogers Park,Near West Side
Clinic,Austin Planned Parenthood of Illinois,5937 W Chicago Ave,Chicago,IL,60651,"5937 W Chicago Ave Chicago, IL 60651",Austin,
Bar/Club,Berlin,954 W. Belmont,Chicago,IL,60657,"954 W. Belmont Chicago, IL 60657",Lake View,Near North Side
Bar/Club,Big Chicks,5024 N. Sheridan,Chicago,IL,60640,"5024 N. Sheridan Chicago, IL 60640",Uptown,Greater Grand Crossing
Bar/Club,Bijou,1349 N. Wells,Chicago,IL,60610,"1349 N. Wells Chicago, IL 60610",Near North Side,North Lawndale
Bar,Bill?s Blues,10911 S. Sangamon,Chicago,IL,60643,"10911 S. Sangamon Chicago, IL 60643",Beverly,
Barber Shop,Black Jack's Barber Shop,3852 W. 49th St.,Chicago,IL,60632,"3852 W. 49th St. Chicago, IL 60632",Archer Heights,
Bar/Club,Bobby Love,3729 N. Halsted,Chicago,IL,60613,"3729 N. Halsted Chicago, IL 60613",Lake View,Ravenswood
Youth CBO,Broadway Youth Center,3169 N. Broadway,Chicago,IL,60657,"3169 N. Broadway Chicago, IL 60657",Lake View,South Shore
CBO,Brother's Health,2150 S. Canalport #5B1,Chicago,IL,60608,"2150 S. Canalport #5B1 Chicago, IL 60608",Lower West Side,
Store,Brown Elephant Clark,5404 N.Clark,Chicago,IL,60626,"5404 N.Clark Chicago, IL 60626",Rogers Park,
Store,Brown Elephant Halsted,3651 N. Halsted,Chicago,IL,60657,"3651 N. Halsted Chicago, IL 60657",Lake View,
CBO,CALOR,5038 W. Armitage,Chicago,IL,60631,"5038 W. Armitage Chicago, IL 60631",Norwood Park,Uptown
Restaurant,Cateteria Marianaos,4825 W. Armitage Ave.,Chicago,IL,60639,"4825 W. Armitage Ave. Chicago, IL 60639",Belmont Cragin,Near North Side
Bar/Club,Cell Block,3702 N. Halsted,Chicago,IL,60613,"3702 N. Halsted Chicago, IL 60613",Lake View,Beverly
CBO,Center on Halsted,3656 North Halsted Street,Chicago,IL,60613,"3656 North Halsted Street Chicago, IL 60613",Lake View,
CBO,Centro De Salud Esperanza,"2001 S. California, Suite 100",Chicago,IL,60608,"2001 S. California, Suite 100 Chicago, IL 60608",South Lawndale,Roseland
Beauty/Barber Shop,Chapaz School of Haircutting,325 W. 103rd St.,Chicago,IL,60628,"325 W. 103rd St. Chicago, IL 60628",Roseland,
Bar/Club,Charlie's,3726 N. Broadway,Chicago,IL,60613,"3726 N. Broadway Chicago, IL 60613",Lake View,Englewood
CBO,Chicago Family Heaalth Center East Side,10536 S. Ewing,Chicago,IL,60617,"10536 S. Ewing Chicago, IL 60617",East Side,Humbolt Park
CBO,Chicago Family Health Center,9119 S. Exchange,Chicago,IL,60617,"9119 S. Exchange Chicago, IL 60617",South Chicago,Near West Side
CBO,Chicago Family Health Center,3233 W. 63rd,Chicago,IL,60629,"3233 W. 63rd Chicago, IL 60629",Roseland,
CBO,Chicago Family Health Center Pullman,556 E. 115th St.,Chicago,IL,60628,"556 E. 115th St. Chicago, IL 60628",Roseland,South Shore
CBO,Chicago Family Health Center Roseland,120 W. 111th,Chicago,IL,60628,"120 W. 111th Chicago, IL 60628",Roseland,Rogers Park
CBO,Chicago House and Social Service Agency,"1925 N Clybourn Ave., Suite 401",Chicago,IL,60614,"1925 N Clybourn Ave., Suite 401 Chicago, IL 60614",Lincoln Park,
CBO,Chicago Recovery Alliance,3110 W. Taylor,Chicago,IL,60612,"3110 W. Taylor Chicago, IL 60612",Near West Side,
CBO,Chicago Recovery Alliance,Check www.anypositivechange.org/slt.html for location information.,Chicago,.,,"Check www.anypositivechange.org/slt.html for location information. Chicago, . ",,Grand Boulevard
CBO,Chicago Women's AIDS Project,6363 N. Broadway,Chicago,IL,60660,"6363 N. Broadway Chicago, IL 60660",Edgewater,Near West Side
CBO,Chicago Women's Project,2717 E. 71st Street,Chicago,IL,60649,"2717 E. 71st Street Chicago, IL 60649",South Shore,
Health Center,Christian Community Health Center,2813-15 W. Fifth Ave.,Chicago,IL,60620,"2813-15 W. Fifth Ave. Chicago, IL 60620",Auburn Gresham,Lake View
Health Center,Christian Community Health Center,1701 W. Monterey Ave.,Chicago,IL,60643,"1701 W. Monterey Ave. Chicago, IL 60643",Morgan Park,
Health Center,Christian Community Health Center,9718 S. Halsted,Chicago,IL,60628,"9718 S. Halsted Chicago, IL 60628",Washington Heights,
CBO,Circle Family Care,5002 W. Madison,Chicago,IL,60644,"5002 W. Madison Chicago, IL 60644",Austin,McKinley Park
Bar/Club,Cocktail,3359 N. Halsted,Chicago,IL,60657,"3359 N. Halsted Chicago, IL 60657",Lake View,Austin
CBO,Community Outreach Intervention Project,1606 W. 63rd,Chicago,IL,60636,"1606 W. 63rd Chicago, IL 60636",West Englewood,Woodlawn
CBO,Community Outreach Intervention Project,4407 N. Broadway,Chicago,IL,60640,"4407 N. Broadway Chicago, IL 60640",Uptown,
CBO,Community Outreach Intervention Project,8901 S. Commercial,Chicago,IL,60617,"8901 S. Commercial Chicago, IL 60617",South Chicago,
CBO,Community Outreach Intervention Project,4754-56 W. Madison,Chicago,IL,60644,"4754-56 W. Madison Chicago, IL 60644",Austin,
CBO,Community Outreach Intervention Project,1612 N. Kedzie,Chicago,IL,60651,"1612 N. Kedzie Chicago, IL 60651",Humboldt Park,
CBO,Core Center,2020 W. Harrison,Chicago,IL,60612,"2020 W. Harrison Chicago, IL 60612",Near West Side,
Beauty/Barber Shop,Cut It Out,1741 Â½ E. 71st St.,Chicago,IL,60649,"1741 Â½ E. 71st St. Chicago, IL 60649",South Shore,
Beauty/Barber Shop,Danny Boy 2 Unlimited Hair,751 E. 65th St.,Chicago,IL,60637,"751 E. 65th St. Chicago, IL 60637",Woodlawn,
Beauty/Barber Shop,Dubose Barber Shop,2225 E. 71st. St.,Chicago,IL,60649,"2225 E. 71st. St. Chicago, IL 60649",South Shore,Uptown
Auto Repair Shop,Eddie?s Auto,5833 S. Union,Chicago,IL,60649,"5833 S. Union Chicago, IL 60649",South Shore,
Clinic,Englewood Planned Parenthood of Illinois,6059 S Ashland,Chicago,IL,60636,"6059 S Ashland Chicago, IL 60636",West Englewood,Near West Side
CDPH Clinic,Englewood Speciality Clinic,641 W. 63rd Street,Chicago,IL,60621,"641 W. 63rd Street Chicago, IL 60621",Englewood,Garfield Ridge
Bar,Falcon Inn,1601 E. 63rd Street,Chicago,IL,60615,"1601 E. 63rd Street Chicago, IL 60615",Woodlawn,
Treatment Center,Family Guidance Center,310 W. Chicago,Chicago,IL,60610,"310 W. Chicago Chicago, IL 60610",Near North Side,
Clinic,Friend Family Health Center,5843 S. Western,Chicago,IL,60636,"5843 S. Western Chicago, IL 60636",West Englewood,Austin
Clinic,Friend Family Health Center,5635 S. Pulaski Rd.,Chicago,IL,60629,"5635 S. Pulaski Rd. Chicago, IL 60629",West Elsdon,
Clinic,Friend Family Health Center,2436 W. 47th Street,Chicago,IL,60632,"2436 W. 47th Street Chicago, IL 60632",Brighton Park,Auburn Gresham
Clinic,Friend Famliy Health Center,800 E. 55th Street,Chicago,IL,60615,"800 E. 55th Street Chicago, IL 60615",Washington Park,New City
Beauty/Barber Shop,Hair Icon,6454 S. Cottage Grove,Chicago,IL,60637,"6454 S. Cottage Grove Chicago, IL 60637",Woodlawn,
Beauty/Barber Shop,Hair Werks,402 E. 79th St.,Chicago,IL,60619,"402 E. 79th St. Chicago, IL 60619",Greater Grand Crossing,Lincoln Park
School,Harold Washington College,30 E. Lake,Chicago,IL,60611,"30 E. Lake Chicago, IL 60611",Near North Side,Lake View
CBO,Haymarket Center,108 North Sangamon St,Chicago,IL,60607,"108 North Sangamon St Chicago, IL 60607",Near West Side,South Lawndale
CBO,Haymarket House,600 W. Washington,Chicago,IL,60661,"600 W. Washington Chicago, IL 60661",Near West Side,
Health Center,Heartland Health Center,845 W. Wilson,Chicago,IL,60640,"845 W. Wilson Chicago, IL 60640",Uptown,West Town
Health Center,Heartland Health Center,2645 W. Lawrence Ave.,Chicago,IL,60625,"2645 W. Lawrence Ave. Chicago, IL 60625",Ravenswood,Loop
Health Center,Heartland Health Center,2200 W. Touhy Ave.,Chicago,IL,60645,"2200 W. Touhy Ave. Chicago, IL 60645",West Ridge,
CBO,Heartland Human Care Services,4411 N. Ravenswood Ave.,Chicago,IL,60640,"4411 N. Ravenswood Ave. Chicago, IL 60640",Uptown,
CBO,Howard Brown Health Center,4025 N. Sheridan,Chicago,IL,60613,"4025 N. Sheridan Chicago, IL 60613",Uptown,Uptown
CBO,Howard Brown Health Center,4025 N. Sheridan Road,Chicago,IL,60613,"4025 N. Sheridan Road Chicago, IL 60613",Uptown,Edgewater
CBO,HRDI,11400 S. Michigan,Chicago,IL,60644,"11400 S. Michigan Chicago, IL 60644",Roseland,
Clinic,Infectious Disease & Travel Clinic,3000 N. Halsted,Chicago,IL,60657,"3000 N. Halsted Chicago, IL 60657",Lake View,
Bar/Club,Jackhammer,6460 N. Clark,Chicago,IL,60626,"6460 N. Clark Chicago, IL 60626",Rogers Park,South Shore
Hospital,Jackson Park Hospital,7531 S. Stoney Island,Chicago,IL,60649,"7531 S. Stoney Island Chicago, IL 60649",South Shore,Rogers Park
Bar / Club,Jeffery Pub,7041 S Jeffery,Chicago,IL,60649,"7041 S Jeffery Chicago, IL 60649",South Shore,
CBO,Jewish Child & Family Services,216 W. Jackson Blvd.,Chicago,IL,60606,"216 W. Jackson Blvd. Chicago, IL 60606",Loop,
Motel,Jr's Plaza,3001 W Jackson,Chicago,IL,60612,"3001 W Jackson Chicago, IL 60612",East Garfield Park,Grand Boulevard
Barbershop,Just Like That,4129 - B W Madison,Chicago,IL,60644,"4129 - B W Madison Chicago, IL 60644",West Garfield Park,
Health Center,Lawndale Christian Health Center,3860 W. Ogden Ave.,Chicago,IL,60623,"3860 W. Ogden Ave. Chicago, IL 60623",North Lawndale,Humbolt Park
Self Storage,Life Storage,4014 W Grand,Chicago,IL,60639,"4014 W Grand Chicago, IL 60639",Humboldt Park,West Garfield Park
Self Storage,Life Storage,4500 W Grand,Chicago,il,60639,"4500 W Grand Chicago, il 60639",Belmont Cragin,Roseland
Bar/Club,Lil' Jims,3501 N. Halsted,Chicago,IL,60657,"3501 N. Halsted Chicago, IL 60657",Lake View,South Shore
Bar,Lite Inn,3616 W. Division,Chicago,IL,60651,"3616 W. Division Chicago, IL 60651",Humboldt Park,Lincoln Park
Barbershop,Locker Room,3370 W 183rd St,Chicago,IL,60429,"3370 W 183rd St Chicago, IL 60429",Outside CCA,Near West Side
Clinic,Loop Planned Parenthood of Illinois,18 S Michigan 6th Fl,Chicago,IL,60603,"18 S Michigan 6th Fl Chicago, IL 60603",Loop,Washinton Park
Church,Love of Christ,6740 S. Halsted,Chicago,IL,60621,"6740 S. Halsted Chicago, IL 60621",Englewood,East Garfield Park
Bar/Club,Lucky Horseshoe,3169 N. Halsted,Chicago,IL,60657,"3169 N. Halsted Chicago, IL 60657",Lake View,Douglas
Record Store,Mac's Record,5425 W Madison,Chicago,IL,60644,"5425 W Madison Chicago, IL 60644",Austin,
Bar/Club,Man's Country,5017 N. Clark,Chicago,IL,60640,"5017 N. Clark Chicago, IL 60640",Uptown,
Bar/Club,Mary's Attic,5400 N. Clark,Chicago,IL,60640,"5400 N. Clark Chicago, IL 60640",Edgewater,North Lawndale
Barbershop,Masters,342 N Cicero,Chicago,IL,60644,"342 N Cicero Chicago, IL 60644",Austin,Calumet Heights
Clinic,Mile Square Back of the Yards,4630 S. Bishop Plaza,Chicago,IL,60609,"4630 S. Bishop Plaza Chicago, IL 60609",New City,Rogers Park?
Clinic,Mile Square Cicero,4747 W. Cermak Rd.,Chicago,IL,60604,"4747 W. Cermak Rd. Chicago, IL 60604",Outside CCA,South Lawndale
Clinic,Mile Square Health Center,2045 W. Washington,Chicago,IL,60612,"2045 W. Washington Chicago, IL 60612",Near West Side,
Clinic,Mile Square South Shore,7131 S. Jeffery  Blvd.,Chicago,IL,60649,"7131 S. Jeffery  Blvd. Chicago, IL 60649",South Shore,
Beauty/Barber Shop,No Other Place,11135 S. Halsted,Chicago,IL,60628,"11135 S. Halsted Chicago, IL 60628",Roseland,Near North Side
School,Olive Harvey College,10001 South Woodlawn Ave.,Chicago,IL,60628,"10001 South Woodlawn Ave. Chicago, IL 60628",Pullman,
Clinic - Non-Funded,Open Door Clinic,"157 N. Lincoln Ave., Suite 7",Chicago,IL,60505,"157 N. Lincoln Ave., Suite 7 Chicago, IL 60505",Outside CCA,West Ridge
Church,Orleans Missionary Baptist Church,8001 S. Cottage Grove,Chicago,IL,60619,"8001 S. Cottage Grove Chicago, IL 60619",Chatham,
CBO,People for Community Recovery,13200 S. Ellis,Chicago,IL,60627,"13200 S. Ellis Chicago, IL 60627",Loop,McKinley Park
Beauty Shop,Perfect Solution Salon,851 E. 79th Street,Chicago,IL,60619,"851 E. 79th Street Chicago, IL 60619",Chatham,
Restaurant,Pie Hole,737 W. Roscoe,Chicago,IL,60613,"737 W. Roscoe Chicago, IL 60613",Lake View,
Beauty/Barber Shop,Plus Hair,229 E. 51st. St.,Chicago,IL,60615,"229 E. 51st. St. Chicago, IL 60615",Washinton Park,Belmont Cragin
CBO,Prevention Partnership,5934-36 W. Lake Street,Chicago,IL,60644,"5934-36 W. Lake Street Chicago, IL 60644",Loop,North Lawndale
Community Center,Prius Urgent Care,3650 W. Armitage,Chicago,IL,60647,"3650 W. Armitage Chicago, IL 60647",Logan Square,South Shore
CBO,Project VIDA,2659 S. Kedvale,Chicago,IL,60623,"2659 S. Kedvale Chicago, IL 60623",South Lawndale,
CBO,Pureto Rican Cultural Center/VIDA SIDA,2703 W. Division,Chicago,IL,60622,"2703 W. Division Chicago, IL 60622",West Town,
Community Center,Rogers Park Community Center,1530 W. Morse,Chicago,IL,60626,"1530 W. Morse Chicago, IL 60626",Rogers Park,
Community Center,Roseland Community Center,10858 S. Michigan,Chicago,IL,60628,"10858 S. Michigan Chicago, IL 60628",Roseland,Morgan Park
CDPH Clinic,Roseland Specialty Clinic,200 E. 115th Street,Chicago,IL,60628,"200 E. 115th Street Chicago, IL 60628",Roseland,Woodlawn
Clinic,RoselandPlanned Parenthood of Illinois,11250 S Halsted,Chicago,IL,60628,"11250 S Halsted Chicago, IL 60628",Morgan Park,New City
Bar/Club,Second Story,157 E. Oak,Chicago,IL,60613,"157 E. Oak Chicago, IL 60613",Near North Side,North Lawndale
Barbershop,Self Explanatory,4121 W Madison,Chicago,IL,60644,"4121 W Madison Chicago, IL 60644",West Garfield Park,Loop
CDPH Clinic,South Austin Specialty Clinic,4958 W. Madison,Chicago,IL,60644,"4958 W. Madison Chicago, IL 60644",Austin,
CBO,South Side Help Center,10420 S. Halsted,Chicago,IL,60628,"10420 S. Halsted Chicago, IL 60628",Washington Heights,Grand Boulevard
Bar/Club,Spin,800 W. Belmont,Chicago,IL,60657,"800 W. Belmont Chicago, IL 60657",Lake View,Lake View
Bar/Club,Steamworks,3246 N. Halsted,Chicago,IL,60657,"3246 N. Halsted Chicago, IL 60657",Lake View,
CBO,Task Force Prevention,9 North Cicero,Chicago,IL,60644,"9 North Cicero Chicago, IL 60644",Austin,Austin
CBO,Test Positive Aware Network,5537 N. Broadway,Chicago,IL,60640,"5537 N. Broadway Chicago, IL 60640",Edgewater,Rogers Park
Bar/Club,The Call,1547 N. Clark,Chicago,IL,60610,"1547 N. Clark Chicago, IL 60610",Old Town,Brighton Park
Bar,The Music Lounge,3017 W. Armitage,Chicago,IL,60647,"3017 W. Armitage Chicago, IL 60647",Logan Square,
Hotel,The North Hotel,1622 N. California,Chicago,IL,60647,"1622 N. California Chicago, IL 60647",West Town,Loop
Lingerie Company,Thin N That Lingerie,7506 S. Saginaw,Chicago,IL,60649,"7506 S. Saginaw Chicago, IL 60649",South Shore,
CBO,Thresholds,4101 N. Ravenswood,Chicago,IL,60613,"4101 N. Ravenswood Chicago, IL 60613",Lake View,
Beauty/Barber Shop,TNT Barber Shop,8637 S. Cottage Grove,Chicago,IL,60619,"8637 S. Cottage Grove Chicago, IL 60619",Chatham,Grand Boulevard
Bar/Club,Touche,6412 N. Clark,Chicago,IL,60626,"6412 N. Clark Chicago, IL 60626",Rogers Park,
CBO,TRIAD,3000 N. Halsted,Chicago,IL,60657,"3000 N. Halsted Chicago, IL 60657",Lake View,
Auto Repair Shop,Union Auto,5828 S. Union,Chicago,IL,60649,"5828 S. Union Chicago, IL 60649",Englewood,Roseland
Clinic,University of Illinois at Chicago,1801 W. Taylor St.,Chicago,IL,60612,"1801 W. Taylor St. Chicago, IL 60612",Near West Side,
Bar,Wabash Tap,1233 S. Wabash,Chicago,IL,60605,"1233 S. Wabash Chicago, IL 60605",Loop,Brighton Park
Store,Walgreens,4025 N. Sheridan,Chicago,IL,60613,"4025 N. Sheridan Chicago, IL 60613",Uptown,Chatham
Hair Studio,Wences Hair Studio,3540 W. North Ave.,Chicago,IL,60647,"3540 W. North Ave. Chicago, IL 60647",Humboldt Park,Belmont Cragin
CDPH Clinic,West Town Specialty Clinic,2418 W. Division,Chicago,IL,60622,"2418 W. Division Chicago, IL 60622",West Town,
Treatment Facility,Women?s Professional,6701 S. Elizabeth,Chicago,IL,60636,"6701 S. Elizabeth Chicago, IL 60636",West Englewood,
