Venue Type,Name,Address,City,State,ZIP Code,Full Address,Latitude,Longitude,Community Areas
Clinic,Advocate Hope Children's Hospital,4440 W. 95th St.,Oak Lawn,IL,60453,4440 W. 95th St. Oak Lawn IL 60453,41.7219324,-87.7328465,Outside CCA
Clinic,Advocate Trinity Hospital,2320 E. 93rd St.,Chicago,IL,60617,2320 E. 93rd St. Chicago IL 60617,41.7266761,-87.5669741,Calumet Heights
Church,AGAPE,2508 W. 69th,Chicago,IL,60629,2508 W. 69th Chicago IL 60629,41.7682902,-87.6862507,Riverdale
CBO,AIDS Foundation of Chicago,"200 W. Jackson, Suite 2200",Chicago,IL,60606,"200 W. Jackson, Suite 2200 Chicago IL 60606",41.8784101,-87.6340851,Loop
Clinic,Alexian Brothers / Bonaventure House,825 W Wellington,Chicago,IL,60657,825 W Wellington Chicago IL 60657,41.9360742,-87.6500601,Lake View
CBO,Alivio Medial Center,966 W. 21st Street,Chicago,IL,60608,966 W. 21st Street Chicago IL 60608,41.8540894,-87.6510229,McKinley Park
CBO,Alivio Medical Center,2355 S. Western,Chicago,IL,60608,2355 S. Western Chicago IL 60608,41.8491055,-87.685155,Lower West Side
Clinic,Altgeld Health Center,1029 E. 130th St.,Chicago,IL,60628,1029 E. 130th St. Chicago IL 60628,41.6588341,-87.5969189,Riverdale
CBO,American Indian Health Center,4081 N. Broadway,Chicago,IL,60613,4081 N. Broadway Chicago IL 60613,41.9565277,-87.6518031,Lake View
Bar/Club,Anvil,1137 N. Grandville,Chicago,IL,60660,1137 N. Grandville Chicago IL 60660,41.9943641,-87.659799,Edgewater
CBO,Asian Human Services,4733 N. Broadway,Chicago,IL,60640,4733 N. Broadway Chicago IL 60640,41.9683878,-87.6593988,Uptown
Beauty/Barber Shop,At the Barbershop,346 E. 47th Street,Chicago,IL,60653,346 E. 47th Street Chicago IL 60653,41.8095517,-87.6178695,Grand Boulevard
Hair Studio,Attractions Hair Salon,3627 W. Armitage,Chicago,IL,60647,3627 W. Armitage Chicago IL 60647,41.9171353,-87.7178466,Logan Square
CBO,Austin CBC,4800 W. Chicago Ave.,Chicago,IL,60615,4800 W. Chicago Ave. Chicago IL 60615,41.8953143,-87.7461725,Rogers Park
Clinic,Austin Planned Parenthood of Illinois,5937 W Chicago Ave,Chicagi,IL,60651,5937 W Chicago Ave Chicagi IL 60651,41.8945439,-87.7738154,Austin
Bar/Club,Berlin,954 W. Belmont,Chicago,IL,60657,954 W. Belmont Chicago IL 60657,41.9400398,-87.6537225,Lake View
Bar/Club,Big Chicks,5024 N. Sheridan,Chicago,IL,60640,5024 N. Sheridan Chicago IL 60640,41.9740484,-87.655216,Uptown
Bar/Club,Bijou,1349 N. Wells,Chicago,IL,60610,1349 N. Wells Chicago IL 60610,41.9071689,-87.6342794,Near North Side
Bar,Bill?s Blues,10911 S. Sangamon,Chicago,IL,60643,10911 S. Sangamon Chicago IL 60643,41.6955882,-87.645847,Beverly
Barber Shop,Black Jack's Barber Shop,3852 W. 49th St.,Chicago,IL,60632,3852 W. 49th St. Chicago IL 60632,41.804506,-87.720662,Archer Heights
Bar/Club,Bobby Love,3729 N. Halsted,Chicago,IL,60613,3729 N. Halsted Chicago IL 60613,41.9499365,-87.6493291,Lake View
Youth CBO,Broadway Youth Center,3169 N. Broadway,Chicago,IL,60657,3169 N. Broadway Chicago IL 60657,41.939662,-87.6442192,Lake View
CBO,Brother's Health,2150 S. Canalport #5B1,Chicago,IL,60608,2150 S. Canalport #5B1 Chicago IL 60608,41.8532818,-87.6503563,Lower West Side
Store,Brown Elephant Clark,5404 N.Clark,Chicago,IL,60626,5404 N.Clark Chicago IL 60626,41.9801331,-87.6685287,Rogers Park
Store,Brown Elephant Halsted,3651 N. Halsted,Chicago,IL,60657,3651 N. Halsted Chicago IL 60657,41.9408212,-87.6494321,Lake View
CBO,CALOR,5038 W. Armitage,Chicago,IL,60631,5038 W. Armitage Chicago IL 60631,41.9171071,-87.7523695,Norwood Park
Restaurant,Cateteria Marianaos,4825 W. Armitage Ave.,Chicago,IL,60639,4825 W. Armitage Ave. Chicago IL 60639,41.916661,-87.747155,Belmont Cragin
Bar/Club,Cell Block,3702 N. Halsted,Chicago,IL,60613,3702 N. Halsted Chicago IL 60613,41.9493168,-87.6498641,Lake View
CBO,Center on Halsted,3656 North Halsted Street,Chicago,IL,60613,3656 North Halsted Street Chicago IL 60613,41.9485684,-87.6498821,Lake View
CBO,Centro De Salud Esperanza,"2001 S. California, Suite 100",Chicago,IL,60608,"2001 S. California, Suite 100 Chicago IL 60608",41.8546431,-87.6952462,South Lawndale
Beauty/Barber Shop,Chapaz School of Haircutting,325 W. 103rd St.,Chicago,IL,60628,325 W. 103rd St. Chicago IL 60628,41.7068568,-87.6316733,Roseland
Bar/Club,Charlie's,3726 N. Broadway,Chicago,IL,60613,3726 N. Broadway Chicago IL 60613,41.9499384,-87.6490752,Lake View
CBO,Chicago Family Heaalth Center East Side,10536 S. Ewing,Chicago,IL,60617,10536 S. Ewing Chicago IL 60617,41.7035056,-87.5355825,East Side
CBO,Chicago Family Health Center,9119 S. Exchange,Chicago,IL,60617,9119 S. Exchange Chicago IL 60617,41.7293092,-87.5522229,South Chicago
CBO,Chicago Family Health Center,3233 W. 63rd,Chicago,IL,60629,3233 W. 63rd Chicago IL 60629,41.7778154,-87.7044318,Roseland
CBO,Chicago Family Health Center Pullman,556 E. 115th St.,Chicago,IL,60628,556 E. 115th St. Chicago IL 60628,41.685698,-87.609303,Roseland
CBO,Chicago Family Health Center Roseland,120 W. 111th,Chicago,IL,60628,120 W. 111th Chicago IL 60628,41.6928817,-87.6267297,Roseland
CBO,Chicago House and Social Service Agency,"1925 N Clybourn Ave., Suite 401",Chicago,IL,60614,"1925 N Clybourn Ave., Suite 401 Chicago IL 60614",41.9161831,-87.6564406,Lincoln Park
CBO,Chicago Recovery Alliance,3110 W. Taylor,Chicago,IL,60612,3110 W. Taylor Chicago IL 60612,41.8694194,-87.7039114,Near West Side
CBO,Chicago Women's AIDS Project,6363 N. Broadway,Chicago,IL,60660,"6363 N Broadway St, Chicago, IL 60660",41.9978595,-87.6601683,Edgewater
CBO,Chicago Women's Project,2717 E. 71st Street,Chicago,IL,60649,2717 E. 71st Street Chicago IL 60649,41.9979416,-87.6600532,South Shore
Health Center,Christian Community Health Center,2813-15 W. Fifth Ave.,Chicago,IL,60620,2813-15 W. Fifth Ave. Chicago IL 60620,41.7662948,-87.5609303,Auburn Gresham
Health Center,Christian Community Health Center,1701 W. Monterey Ave.,Chicago,IL,60643,1701 W. Monterey Ave. Chicago IL 60643,41.880915,-87.6969308,Morgan Park
Health Center,Christian Community Health Center,9718 S. Halsted,Chicago,IL,60628,9718 S. Halsted Chicago IL 60628,41.6898615,-87.6656127,Washington Heights
CBO,Circle Family Care,5002 W. Madison,Chicago,IL,60644,5002 W. Madison Chicago IL 60644,41.7168673,-87.6434542,Austin
Bar/Club,Cocktail,3359 N. Halsted,Chicago,IL,60657,3359 N. Halsted Chicago IL 60657,41.8806747,-87.7506781,Lake View
CBO,Community Outreach Intervention Project,1606 W. 63rd,Chicago,IL,60636,1606 W. 63rd Chicago IL 60636,41.9434104,-87.6490946,West Englewood
CBO,Community Outreach Intervention Project,4407 N. Broadway,Chicago,IL,60640,4407 N. Broadway Chicago IL 60640,41.7795949,-87.6646188,Uptown
CBO,Community Outreach Intervention Project,8901 S. Commercial,Chicago,IL,60617,8901 S. Commercial Chicago IL 60617,41.962057,-87.6550797,South Chicago
CBO,Community Outreach Intervention Project,4754-56 W. Madison,Chicago,IL,60644,4754-56 W. Madison Chicago IL 60644,41.733574,-87.550923,Austin
CBO,Community Outreach Intervention Project,1612 N. Kedzie,Chicago,IL,60651,1612 N. Kedzie Chicago IL 60651,41.8807506,-87.7448798,Humboldt Park
CBO,Core Center,2020 W. Harrison,Chicago,IL,60612,2020 W. Harrison Chicago IL 60612,41.9105666,-87.7070642,Near West Side
Beauty/Barber Shop,Cut It Out,1741 Â½ E. 71st St.,Chicago,IL,60649,1741 E. 71st St. Chicago IL 60649,41.8746646,-87.6771887,South Shore
Beauty/Barber Shop,Danny Boy 2 Unlimited Hair,751 E. 65th St.,Chicago,IL,60637,751 E. 65th St. Chicago IL 60637,41.776616,-87.6063167,Woodlawn
Beauty/Barber Shop,Dubose Barber Shop,2225 E. 71st. St.,Chicago,IL,60649,2225 E. 71st. St. Chicago IL 60649,41.776616,-87.6063167,South Shore
Auto Repair Shop,Eddie?s Auto,5833 S. Union,Chicago,IL,60649,5833 S. Union Chicago IL 60649,41.7660007,-87.5705576,South Shore
Clinic,Englewood Planned Parenthood of Illinois,6059 S Ashland,Chicagi,IL,60636,6059 S Ashland Chicagi IL 60636,41.7878788,-87.6422973,West Englewood
CDPH Clinic,Englewood Speciality Clinic,641 W. 63rd Street,Chicago,IL,60621,641 W. 63rd Street Chicago IL 60621,41.7794703,-87.6414475,Englewood
Bar,Falcon Inn,1601 E. 63rd Street,Chicago,IL,60615,1601 E. 63rd Street Chicago IL 60615,41.7806001,-87.58647,Woodlawn
Treatment Center,Family Guidance Center,310 W. Chicago,Chicago,IL,60610,310 W. Chicago Chicago IL 60610,41.8967625,-87.6363993,Near North Side
Clinic,Friend Family Health Center,5843 S. Western,Chicago,IL,60636,5843 S. Western Chicago IL 60636,41.7871299,-87.6833344,West Englewood
Clinic,Friend Family Health Center,5635 S. Pulaski Rd.,Chicago,IL,60629,5635 S. Pulaski Rd. Chicago IL 60629,41.790177,-87.7226831,West Elsdon
Clinic,Friend Family Health Center,2436 W. 47th Street,Chicago,IL,60632,2436 W. 47th Street Chicago IL 60632,41.8086618,-87.6859787,Brighton Park
Clinic,Friend Famliy Health Center,800 E. 55th Street,Chicago,IL,60615,800 E. 55th Street Chicago IL 60615,41.7956635,-87.6053729,Washington Park
Beauty/Barber Shop,Hair Icon,6454 S. Cottage Grove,Chicago,IL,60637,6454 S. Cottage Grove Chicago IL 60637,41.7769641,-87.606124,Woodlawn
Beauty/Barber Shop,Hair Werks,402 E. 79th St.,Chicago,IL,60619,402 E. 79th St. Chicago IL 60619,41.7512395,-87.6147023,Greater Grand Crossing
School,Harold Washington College,30 E. Lake,Chicago,IL,60611,30 E. Lake Chicago IL 60611,41.9008342,-87.623462,Near North Side
CBO,Haymarket Center,108 North Sangamon St,Chicago,IL,60607,108 North Sangamon St Chicago IL 60607,41.8833902,-87.6512022,Near West Side
CBO,Haymarket House,600 W. Washington,Chicago,IL,60661,600 W. Washington Chicago IL 60661,41.8833837,-87.6431594,Near West Side
Health Center,Heartland Health Center,845 W. Wilson,Chicago,IL,60640,845 W. Wilson Chicago IL 60640,41.9651899,-87.6520274,Uptown
Health Center,Heartland Health Center,2645 W. Lawrence Ave.,Chicago,IL,60625,2645 W. Lawrence Ave. Chicago IL 60625,41.9682897,-87.6959618,Ravenswood
Health Center,Heartland Health Center,2200 W. Touhy Ave.,Chicago,IL,60645,2200 W. Touhy Ave. Chicago IL 60645,42.0124201,-87.6864137,West Ridge
CBO,Heartland Human Care Services,4411 N. Ravenswood Ave.,Chicago,IL,60640,4411 N. Ravenswood Ave. Chicago IL 60640,41.9620374,-87.6735375,Uptown
CBO,Howard Brown Health Center,4025 N. Sheridan,Chicago,IL,60613,4025 N. Sheridan Chicago IL 60613,41.955202,-87.6541478,Uptown
CBO,Howard Brown Health Center,4025 N. Sheridan Road,Chicago,IL,60613,4025 N. Sheridan Road Chicago IL 60613,41.955202,-87.6541478,Uptown
CBO,HRDI,11400 S. Michigan,Chicago,IL,60644,11400 S. Michigan Chicago IL 60644,41.686898,-87.621256,Roseland
Clinic,Infectious Disease & Travel Clinic,3000 N. Halsted,Chicago,IL,60657,3000 N. Halsted Chicago IL 60657,41.9367333,-87.6495741,Lake View
Bar/Club,Jackhammer,6460 N. Clark,Chicago,IL,60626,6460 N. Clark Chicago IL 60626,41.999318,-87.6715318,Rogers Park
Hospital,Jackson Park Hospital,7531 S. Stoney Island,Chicago,IL,60649,7531 S. Stoney Island Chicago IL 60649,41.7576761,-87.5851304,South Shore
Bar / Club,Jeffery Pub,7041 S Jeffery,Chicago,IL,60649,7041 S Jeffery Chicago IL 60649,41.7667345,-87.576073,South Shore
CBO,Jewish Child & Family Services,216 W. Jackson Blvd.,Chicago,IL,60606,216 W. Jackson Blvd. Chicago IL 60606,41.8784245,-87.6344896,Loop
Motel,Jr's Plaza,3001 W Jackson,Chicago,IL,60612,3001 W Jackson Chicago IL 60612,41.8770965,-87.7013133,East Garfield Park
Barbershop,Just Like That,4129 - B W Madison,Chicago,IL,60644,4129 - B W Madison Chicago IL 60644,41.8803629,-87.7292961,West Garfield Park
Health Center,Lawndale Christian Health Center,3860 W. Ogden Ave.,Chicago,IL,60623,3860 W. Ogden Ave. Chicago IL 60623,41.8524949,-87.7219687,North Lawndale
Self Storage,Life Storage,4014 W Grand,Chicago,IL,60639,4014 W Grand Chicago IL 60639,41.9071079,-87.727029,Humboldt Park
Self Storage,Life Storage,4500 W Grand,Chicago,il,60639,4500 W Grand Chicago il 60639,41.9116766,-87.739235,Belmont Cragin
Bar/Club,Lil' Jims,3501 N. Halsted,Chicago,IL,60657,3501 N. Halsted Chicago IL 60657,41.9455803,-87.6491851,Lake View
Bar,Lite Inn,3616 W. Division,Chicago,IL,60651,3616 W. Division Chicago IL 60651,41.9028265,-87.7172731,Humboldt Park
Barbershop,Locker Room,3370 W 183rd St,Chicago,IL,60429,3370 W 183rd St Chicago IL 60429,41.558259,-87.6987444,Outside CCA
Clinic,Loop Planned Parenthood of Illinois,18 S Michigan 6th Fl,Chicago,IL,60603,18 S Michigan 6th Fl Chicago IL 60603,41.881467,-87.6249395,Loop
Church,Love of Christ,6740 S. Halsted,Chicago,IL,60621,6740 S. Halsted Chicago IL 60621,41.771234,-87.644935,Englewood
Bar/Club,Lucky Horseshoe,3169 N. Halsted,Chicago,IL,60657,3169 N. Halsted Chicago IL 60657,41.9397863,-87.64902,Lake View
Record Store,Mac's Record,5425 W Madison,Chicago,IL,60644,5425 W Madison Chicago IL 60644,41.8800345,-87.7611459,Austin
Bar/Club,Man's Country,5017 N. Clark,Chicago,IL,60640,5017 N. Clark Chicago IL 60640,41.9729894,-87.6676972,Uptown
Bar/Club,Mary's Attic,5400 N. Clark,Chicago,IL,60640,5400 N. Clark Chicago IL 60640,41.979965,-87.668523,Edgewater
Barbershop,Masters,342 N Cicero,Chicago,IL,60644,342 N Cicero Chicago IL 60644,41.8865044,-87.7454982,Austin
Clinic,Mile Square Back of the Yards,4630 S. Bishop Plaza,Chicago,IL,60609,4630 S. Bishop Plaza Chicago IL 60609,41.8095938,-87.6615886,New City
Clinic,Mile Square Cicero,4747 W. Cermak Rd.,Chicago,IL,60604,4747 W. Cermak Rd. Chicago IL 60604,41.8516186,-87.7210529,Outside CCA
Clinic,Mile Square Health Center,2045 W. Washington,Chicago,IL,60612,2045 W. Washington Chicago IL 60612,41.8828757,-87.6783015,Near West Side
Clinic,Mile Square South Shore,7131 S. Jeffery Blvd.,Chicago,IL,60649,7131 S. Jeffery Blvd. Chicago IL 60649,41.7650836,-87.5737926,South Shore
Beauty/Barber Shop,No Other Place,11135 S. Halsted,Chicago,IL,60628,11135 S. Halsted Chicago IL 60628,41.691348,-87.6419871,Roseland
School,Olive Harvey College,10001 South Woodlawn Ave.,Chicago,IL,60628,10001 South Woodlawn Ave. Chicago IL 60628,41.7105365,-87.592116,Pullman
Clinic - Non-Funded,Open Door Clinic,"157 N. Lincoln Ave., Suite 7",Aurora,IL,60505,"157 N. Lincoln Ave., Suite 7 Aurora IL 60505",41.7591305,-88.3076971,Outside CCA
Church,Orleans Missionary Baptist Church,8001 S. Cottage Grove,Chicago,IL,60619,8001 S. Cottage Grove Chicago IL 60619,41.7490668,-87.6047655,Chatham
CBO,People for Community Recovery,13200 S. Ellis,Chicago,IL,60627,13200 S. Ellis Chicago IL 60627,41.7148761,-87.5993529,Loop
Beauty Shop,Perfect Solution Salon,851 E. 79th Street,Chicago,IL,60619,851 E. 79th Street Chicago IL 60619,41.7511659,-87.6031513,Chatham
Restaurant,Pie Hole,737 W. Roscoe,Chicago,IL,60613,737 W. Roscoe Chicago IL 60613,41.9433708,-87.6490437,Lake View
Beauty/Barber Shop,Plus Hair,229 E. 51st. St.,Chicago,IL,60615,229 E. 51st. St. Chicago IL 60615,41.8019079,-87.6200114,Washinton Park
CBO,Prevention Partnership,5934-36 W. Lake Street,Chicago,IL,60644,5934-36 W. Lake Street Chicago IL 60644,41.8880753,-87.7736358,Loop
Community Center,Prius Urgent Care,3650 W. Armitage,Chicago,IL,60647,3650 W. Armitage Chicago IL 60647,41.917452,-87.718829,Logan Square
CBO,Project VIDA,2659 S. Kedvale,Chicago,IL,60623,2659 S. Kedvale Chicago IL 60623,41.8424835,-87.727875,South Lawndale
CBO,Pureto Rican Cultural Center/VIDA SIDA,2703 W. Division,Chicago,IL,60622,2703 W. Division Chicago IL 60622,41.9027258,-87.6946557,West Town
Community Center,Rogers Park Community Center,1530 W. Morse,Chicago,IL,60626,1530 W. Morse Chicago IL 60626,42.008187,-87.669105,Rogers Park
Community Center,Roseland Community Center,10858 S. Michigan,Chicago,IL,60628,10858 S. Michigan Chicago IL 60628,41.6964833,-87.621161,Roseland
CDPH Clinic,Roseland Specialty Clinic,200 E. 115th Street,Chicago,IL,60628,200 E. 115th Street Chicago IL 60628,41.6855907,-87.6176791,Roseland
Clinic,RoselandPlanned Parenthood of Illinois,11250 S Halsted,Chicagi,IL,60628,11250 S Halsted Chicagi IL 60628,41.6888663,-87.6426428,Morgan Park
Bar/Club,Second Story,157 E. Oak,Chicago,IL,60613,157 E. Oak Chicago IL 60613,41.9006526,-87.6242626,Near North Side
Barbershop,Self Explanatory,4121 W Madison,Chicago,IL,60644,4121 W Madison Chicago IL 60644,41.8803626,-87.7290051,West Garfield Park
CDPH Clinic,South Austin Specialty Clinic,4958 W. Madison,Chicago,IL,60644,4958 W. Madison Chicago IL 60644,41.8808513,-87.7499667,Austin
CBO,South Side Help Center,10420 S. Halsted,Chicago,IL,60628,10420 S. Halsted Chicago IL 60628,41.7044396,-87.643248,Washington Heights
Bar/Club,Spin,800 W. Belmont,Chicago,IL,60657,800 W. Belmont Chicago IL 60657,41.9401779,-87.6494958,Lake View
Bar/Club,Steamworks,3246 N. Halsted,Chicago,IL,60657,3246 N. Halsted Chicago IL 60657,41.9413599,-87.6497109,Lake View
CBO,Task Force Prevention,9 North Cicero,Chicago,IL,60644,9 North Cicero Chicago IL 60644,41.8810466,-87.7451248,Austin
CBO,Test Positive Aware Network,5537 N. Broadway,Chicago,IL,60640,5537 N. Broadway Chicago IL 60640,41.9828013,-87.6600682,Edgewater
Bar/Club,The Call,1547 N. Clark,Chicago,IL,60610,1547 N. Clark Chicago IL 60610,41.9106355,-87.6316559,Old Town
Bar,The Music Lounge,3017 W. Armitage,Chicago,IL,60647,3017 W. Armitage Chicago IL 60647,41.9172534,-87.7030448,Logan Square
Hotel,The North Hotel,1622 N. California,Chicago,IL,60647,1622 N. California Chicago IL 60647,41.9109669,-87.6973456,West Town
Lingerie Company,Thin N That Lingerie,7506 S. Saginaw,Chicago,IL,60649,7506 S. Saginaw Chicago IL 60649,41.7586249,-87.5600478,South Shore
CBO,Thresholds,4101 N. Ravenswood,Chicago,IL,60613,4101 N. Ravenswood Chicago IL 60613,41.956289,-87.6734025,Lake View
Beauty/Barber Shop,TNT Barber Shop,8637 S. Cottage Grove,Chicago,IL,60619,8637 S. Cottage Grove Chicago IL 60619,41.7373472,-87.6045924,Chatham
Bar/Club,Touche,6412 N. Clark,Chicago,IL,60626,6412 N. Clark Chicago IL 60626,41.9985349,-87.6711487,Rogers Park
CBO,TRIAD,3000 N. Halsted,Chicago,IL,60657,3000 N. Halsted Chicago IL 60657,41.9367333,-87.6495741,Lake View
Auto Repair Shop,Union Auto,5828 S. Union,Chicago,IL,60649,5828 S. Union Chicago IL 60649,41.7880418,-87.6425423,Englewood
Clinic,University of Illinois at Chicago,1801 W. Taylor St.,Chicago,IL,60612,1801 W. Taylor St. Chicago IL 60612,41.8691004,-87.6720463,Near West Side
Bar,Wabash Tap,1233 S. Wabash,Chicago,IL,60605,1233 S. Wabash Chicago IL 60605,41.8665523,-87.625306,Loop
Store,Walgreens,4025 N. Sheridan,Chicago,IL,60613,4025 N. Sheridan Chicago IL 60613,41.955202,-87.6541478,Uptown
Hair Studio,Wences Hair Studio,3540 W. North Ave.,Chicago,IL,60647,3540 W. North Ave. Chicago IL 60647,41.9102317,-87.7156018,Humboldt Park
CDPH Clinic,West Town Specialty Clinic,2418 W. Division,Chicago,IL,60622,2418 W. Division Chicago IL 60622,41.9033702,-87.6877376,West Town
Treatment Facility,Women?s Professional,6701 S. Elizabeth,Chicago,IL,60636,6701 S. Elizabeth Chicago IL 60636,41.7721259,-87.6553172,West Englewood
,,,,,,,,West Englewood,
