Venue Type,Name,Address,City ,State,ZIP Code,Location,Community Areas,,Not on original map,,,,Community Areas
CBO,Access Brandon,8300 S. Brandon,Chicago,IL,60617,"8300 Brandon
Chicago, IL 60617
(41.72629071600045, -87.55734977399965)",Calumet Heights,,,,,,McKinley Park
CBO,Access Cabrini,3450 S. Archer Ave.,Chicago,IL,60608,"3450 Archer Ave
Chicago, IL 60608
(41.83122218000045, -87.67633949999964)",McKinley Park,,,,,,Riverdale
CBO,Access Centro Medico,3700 W. 26th St.,Chicago,IL,60623,"3700 26th St
Chicago, IL 60623
(41.84436033500049, -87.71757028999968)",South Lawndale,17 and 18 appears to be double entry,,,,,
CBO,Access Centro Medico,3204 W. 26th,Chicago,IL,60623,"3204 26th
Chicago, IL 60623
(41.85304321700045, -87.71752840199969)",,17 and 18 appears to be double entry,,,,,Loop
CBO,Access Doctors Medical Center,6240 W. 55th St.,Chicago,IL,60638,"6240 55th St
Chicago, IL 60638
(41.79243370500046, -87.77951803499968)",Garfield Ridge,,,,,,Grand Boulevard
CBO,Access Evanston-Rogers Park,1555 W. Howard St.,Chicago,IL,60626,"1555 Howard St
Chicago, IL 60626
(42.019370135000486, -87.67036012799969)",Rogers Park,,,,,,
CBO,Access Grand Boulevard,5401 S. Wentworth Ave.,Chicago,IL,60609,"5401 Wentworth Ave
Chicago, IL 60609
(41.79672037300048, -87.63056029499967)",Fuller Park,,,,,,Chatham
CBO,Access Holy Cross,"2701 W. 69th Street, 3- South",Chicago,IL,60629,"2701 69th Street
Chicago, IL 60629
(41.76818075700049, -87.69078611799966)",Chicago Lawn,,,,,,Roseland
CBO,Access Humboldt Park,3202 W. North Ave.,Chicago,IL,60647,"3202 North Ave
Chicago, IL 60647
(41.910130309000465, -87.70714098099967)",Humboldt Park,,,,,,
CBO,Access Kedzie,3213-21 W. 47th Place,Chicago,IL,60632,"3213 21 W 47th Place
Chicago, IL 60632
(41.80875023100049, -87.70980732699968)",Brighton Park,,,,,,Loop
CBO,Access Kling Professional Medical Center,2720 W. 15th Street,Chicago,IL,60608,"2720 15th Street
Chicago, IL 60608
(41.86112360900046, -87.69268236399967)",North Lawndale,,,,,,
CBO,Access Madison,3800 W. Madison,Chicago,IL,60624,"3800 Madison
Chicago, IL 60624
(41.87887427400045, -87.72193858299966)",West Garfield Park,,,,,,
CBO,Access Medical Specialists,400 E. 41st Street,Chicago,IL,60653,"400 41st Street
Chicago, IL 60653
(41.820251131000475, -87.61454011299969)",Grand Boulevard,,,,,,
CBO,Access Near West,1158 W. Taylor,Chicago,IL,60607,"1158 Taylor
Chicago, IL 60607
(41.876510591000454, -87.65365682099969)",Near West Side,,,,,,Englewood
CBO,Access Paul and Mimi Francis,3752 W. 16th St.,Chicago,IL,60623,"3752 16th St
Chicago, IL 60623
(41.85895836900045, -87.71930103399967)",North Lawndale,,,,,,Calumet Heights
CBO,Access Peterson,2655 W. Peterson St.,Chicago,IL,60659,"2655 Peterson St
Chicago, IL 60659
(41.991570682000486, -87.69935758899965)",West Ridge,,,,,,Pullman
CBO,Access Plaza,2533 W. Cermak Rd.,Chicago,IL,60608,"2533 Cermak Rd
Chicago, IL 60608
(41.851964800000474, -87.68896620599969)",South Lawndale,,,,,,
CBO,Access Plaza Specialty Center,2507 W. Cermak Pd,Chicago,IL,60608,"2507 Cermak
Chicago, IL 60608
(41.852243736000446, -87.66731751799966)",McKinley Park,,,,,,
CBO,Access Plisen,1817 S. Loomis St.,Chicago,IL,60608,"1817 Loomis St
Chicago, IL 60608
(41.85732005500046, -87.66128014299966)",McKinley Park,,,,,,
CBO,Access Servicios Medicos,3303 W. 26th,Chicago,IL,60623,"3303 26th
Chicago, IL 60623
(41.85304321700045, -87.71752840199969)",South Lawndale,,,,,,Auburn Gresham
CBO,Access South State,5050 S. State St.,Chicago,IL,60609,"5050 State St
Chicago, IL 60609
(41.80281371400048, -87.62594016899965)",Grand Boulevard,,,,,,West Ridge
CBO,Access Southwest,4839 S. 47th St.,Chicago,IL,60638,"4839 47th St
Chicago, IL 60638
(41.80757461200045, -87.74460191199967)",Garfield Ridge,,,,,,Fuller Park
CBO,Access Taylor,4501 S. State St.,Chicago,IL,60609,"4501 State St
Chicago, IL 60609
(41.812930682000456, -87.62617009899964)",Grand Boulevard,,,,,,
CBO,Access Warren,2409 W. Warren Blvd.,Chicago,IL,60612,"2409 Warren Blvd
Chicago, IL 60612
(41.88209067000048, -87.68691035999967)",Near West Side,,,,,,
CBO,Access West Division,4401 W. Division St.,Chicago,IL,60651,"4401 Division St
Chicago, IL 60651
(41.902560966000465, -87.73632022799967)",Humboldt Park,,,,,,Loop
Clinic,Advocate Hope Children's Hospital,4440 W. 95th St.,Oak Lawn,IL,60453,"4440 95th St
Oak Lawn, IL 60453
(41.72028523400047, -87.73247808799965)",Outside CCA,,,,,,Logan Square
Clinic,Advocate Trinity Hospital,2320 E. 93rd St.,Chicago,IL,60617,"2320 93rd St
Chicago, IL 60617
(41.726252538000494, -87.56737686699967)",Calumet Heights,,,,,,Loop
Church,AGAPE,2508 W. 69th,Chicago,IL,60629,"2508 69th
Chicago, IL 60629
(41.645911181000486, -87.57910613799964)",Riverdale,,,,,,Humbolt Park
CBO,AIDS Foundation of Chicago,"200 W. Jackson, Suite 2200",Chicago,IL,60606,"200 Jackson
Chicago, IL 60606
(41.881833223000456, -87.63667653899967)",Loop,,,,,,Norwood Park
Clinic,Alexian Brothers / Bonaventure House,825 W Wellington,Chicago,IL,60657,"825 Wellington
Chicago, IL 60657
(41.93995201700045, -87.65243587399965)",Lake View,,,,,,Riverdale
CBO,Alivio Medial Center,966 W. 21st Street,Chicago,IL,60608,"966 21st Street
Chicago, IL 60608
(41.85389086300046, -87.65061000799966)",McKinley Park,,,,,,
CBO,Alivio Medical Center,2355 S. Western,Chicago,IL,60608,"2355 Western
Chicago, IL 60608
(41.852243736000446, -87.66731751799966)",Lower West Side,,,,,,Rogers Park
Clinic,Altgeld Health Center,1029 E. 130th St.,Chicago,IL,60628,"1029 130th St
Chicago, IL 60628
(41.659122821000494, -87.60265402199968)",Riverdale,,,,,,Archer Heights
CBO,American Indian Health Center,4081 N. Broadway,Chicago,IL,60613,"4081 Broadway
Chicago, IL 60613
(41.95275240300049, -87.65692860999968)",Lake View,,,,,,Chicago Lawn
Bar/Club,Anvil,1137 N. Grandville,Chicago,IL,60660,"1137 Grandville
Chicago, IL 60660
(41.990840721000495, -87.66241635199964)",Edgewater,,,,,,
CBO,Asian Human Services,4733 N. Broadway,Chicago,IL,60640,"4733 Broadway
Chicago, IL 60640
(41.971470687000476, -87.66114760999966)",Uptown,,,,,,West Elsdon
Beauty/Barber Shop,At the Barbershop,346 E. 47th Street,Chicago,IL,60653,"346 47th Street
Chicago, IL 60653
(41.80940879600047, -87.61784372899967)",Grand Boulevard,,,,,,
Hair Studio,Attractions Hair Salon,3627 W. Armitage,Chicago,IL,60647,"3627 Armitage
Chicago, IL 60647
(41.92057329200048, -87.69937931399966)",Logan Square,,,,,,Humbolt Park
CBO,Austin CBC,4800 W. Chicago Ave.,Chicago,IL,60615,"4800 Chicago Ave
Chicago, IL 60615
(42.02236216900047, -87.67703618299964)",Rogers Park,,,,,,Near West Side
Clinic,Austin Planned Parenthood of Illinois,5937 W Chicago Ave,Chicagi,IL,60651,"5937 Chicago Ave
Chicagi, IL 60651
(41.89473005500048, -87.77378092799967)",Austin,,,,,,
Bar/Club,Berlin,954 W. Belmont,Chicago,IL,60657,"954 Belmont
Chicago, IL 60657
(41.93995201700045, -87.65243587399965)",Lake View,,,,,,Near North Side
Bar/Club,Big Chicks,5024 N. Sheridan,Chicago,IL,60640,"5024 Sheridan
Chicago, IL 60640
(41.971470687000476, -87.66114760999966)",Uptown,,,,,,Greater Grand Crossing
Bar/Club,Bijou,1349 N. Wells,Chicago,IL,60610,"1349 N Wells
Chicago, IL 60610
(41.90699322900048, -87.63453673499964)",Near North Side,,,,,,North Lawndale
Bar,Bill?s Blues,10911 S. Sangamon,Chicago,IL,60643,"10911 Sangamon
Chicago, IL 60643
(41.699751422000475, -87.66459754499965)",Beverly,,,,,,
Barber Shop,Black Jack's Barber Shop,3852 W. 49th St.,Chicago,IL,60632,"3852 49th St
Chicago, IL 60632
(41.80423095000049, -87.72065033999968)",Archer Heights,,,,,,
Bar/Club,Bobby Love,3729 N. Halsted,Chicago,IL,60613,"3729 Halsted
Chicago, IL 60613
(41.95275240300049, -87.65692860999968)",Lake View,,,,,,Ravenswood
Youth CBO,Broadway Youth Center,3169 N. Broadway,Chicago,IL,60657,"3169 Broadway
Chicago, IL 60657
(41.93995201700045, -87.65243587399965)",Lake View,,,,,,South Shore
CBO,Brother's Health,2150 S. Canalport #5B1,Chicago,IL,60608,"2150 Canalport
Chicago, IL 60608
(41.852243736000446, -87.66731751799966)",Lower West Side,,,,,,
Store,Brown Elephant Clark,5404 N.Clark,Chicago,IL,60626,"5404 Clark
Chicago, IL 60626
(42.00963287000047, -87.66797795999969)",Rogers Park,,*Edgewater? Similar address at 5400 N Clark,,,,
Store,Brown Elephant Halsted,3651 N. Halsted,Chicago,IL,60657,"3651 Halsted
Chicago, IL 60657
(41.93995201700045, -87.65243587399965)",Lake View,,,,,,
CBO,CALOR,5038 W. Armitage,Chicago,IL,60631,"5038 Armitage
Chicago, IL 60631
(41.99509013700049, -87.81369640799966)",Norwood Park,,,,,,Uptown
Restaurant,Cateteria Marianaos,4825 W. Armitage Ave.,Chicago,IL,60639,"4825 Armitage Ave
Chicago, IL 60639
(41.916920709000465, -87.74716089999964)",Belmont Cragin,,,,,,Near North Side
Bar/Club,Cell Block,3702 N. Halsted,Chicago,IL,60613,"3702 Halsted
Chicago, IL 60613
(41.95275240300049, -87.65692860999968)",Lake View,,,,,,Beverly
CBO,Center on Halsted,3656 North Halsted Street,Chicago,IL,60613,"3656 Halsted Street
Chicago, IL 60613
(41.94882044800045, -87.64948341199965)",Lake View,,,,,,
CBO,Centro De Salud Esperanza,"2001 S. California, Suite 100",Chicago,IL,60608,"2001 California
Chicago, IL 60608
(41.852243736000446, -87.66731751799966)",South Lawndale,,,,,,Roseland
Beauty/Barber Shop,Chapaz School of Haircutting,325 W. 103rd St.,Chicago,IL,60628,"325 103rd St
Chicago, IL 60628
(41.7070705000005, -87.63161002399966)",Roseland,,,,,,
Bar/Club,Charlie's,3726 N. Broadway,Chicago,IL,60613,"3726 Broadway
Chicago, IL 60613
(41.95275240300049, -87.65692860999968)",Lake View,,,,,,Englewood
CBO,Chicago Family Heaalth Center East Side,10536 S. Ewing,Chicago,IL,60617,"10536 Ewing
Chicago, IL 60617
(41.72629071600045, -87.55734977399965)",East Side,,,,,,Humbolt Park
CBO,Chicago Family Health Center,9119 S. Exchange,Chicago,IL,60617,"9119 Exchange
Chicago, IL 60617
(41.72629071600045, -87.55734977399965)",South Chicago,,,,,,Near West Side
CBO,Chicago Family Health Center,3233 W. 63rd,Chicago,IL,60629,"3233 63rd
Chicago, IL 60629
(41.71345341800048, -87.61394893499966)",Roseland,,,,,,
CBO,Chicago Family Health Center Pullman,556 E. 115th St.,Chicago,IL,60628,"556 115th St
Chicago, IL 60628
(41.6851506320005, -87.63710064999964)",Roseland,,,,,,South Shore
CBO,Chicago Family Health Center Roseland,120 W. 111th,Chicago,IL,60628,"120 111th
Chicago, IL 60628
(41.69259085400046, -87.62300715199967)",Roseland,,,,,,Rogers Park
CBO,Chicago House and Social Service Agency,"1925 N Clybourn Ave., Suite 401",Chicago,IL,60614,"1925 Clybourn Ave
Chicago, IL 60614
(41.91607414900045, -87.65661807299966)",Lincoln Park,,,,,,
CBO,Chicago Recovery Alliance,3110 W. Taylor,Chicago,IL,60612,"3110 Taylor
Chicago, IL 60612
(41.88001266600048, -87.68631822699967)",Near West Side,,,,,,
CBO,Chicago Recovery Alliance,Check www.anypositivechange.org/slt.html for location information.,.,.,,,,,,,,,Grand Boulevard
CBO,Chicago Women's AIDS Project,6363 N. Broadway,Chicago,IL,60660,"6363 Broadway
Chicago, IL 60660
(41.990840721000495, -87.66241635199964)",Edgewater,,,,,,Near West Side
CBO,Chicago Women's Project,2717 E. 71st Street,Chicago,IL,60649,"2717 71st Street
Chicago, IL 60649
(41.76581060800049, -87.56649843199966)",South Shore,,,,,,
Health Center,Christian Community Health Center,2813-15 W. Fifth Ave.,Chicago,IL,60620,"2813 15 W Fifth Ave
Chicago, IL 60620
(41.742793047000475, -87.65344826099965)",Auburn Gresham,,,,,,Lake View
Health Center,Christian Community Health Center,1701 W. Monterey Ave.,Chicago,IL,60643,"1701 Monterey Ave
Chicago, IL 60643
(41.6901029280005, -87.66478385299968)",Morgan Park,,,,,,
Health Center,Christian Community Health Center,9718 S. Halsted,Chicago,IL,60628,"9718 Halsted
Chicago, IL 60628
(41.69259085400046, -87.62300715199967)",Washington Heights,,,,,,
CBO,Circle Family Care,5002 W. Madison,Chicago,IL,60644,"5002 Madison
Chicago, IL 60644
(41.881172782000476, -87.75881898899968)",Austin,,,,,,McKinley Park
Bar/Club,Cocktail,3359 N. Halsted,Chicago,IL,60657,"3359 Halsted
Chicago, IL 60657
(41.93995201700045, -87.65243587399965)",Lake View,,,,,,Austin
CBO,Community Outreach Intervention Project,1606 W. 63rd,Chicago,IL,60636,"1606 63rd
Chicago, IL 60636
(41.71345341800048, -87.61394893499966)",West Englewood,,,,,,Woodlawn
CBO,Community Outreach Intervention Project,4407 N. Broadway,Chicago,IL,60640,"4407 Broadway
Chicago, IL 60640
(41.971470687000476, -87.66114760999966)",Uptown,,,,,,
CBO,Community Outreach Intervention Project,8901 S. Commercial,Chicago,IL,60617,"8901 Commercial
Chicago, IL 60617
(41.72629071600045, -87.55734977399965)",South Chicago,,,,,,
CBO,Community Outreach Intervention Project,4754-56 W. Madison,Chicago,IL,60644,"4754 56
Chicago, IL 60644
(41.881172782000476, -87.75881898899968)",Austin,,,,,,
CBO,Community Outreach Intervention Project,1612 N. Kedzie,Chicago,IL,60651,"1612 Kedzie
Chicago, IL 60651
(41.902493725000454, -87.73697664699966)",Humboldt Park,,,,,,
CBO,Core Center,2020 W. Harrison,Chicago,IL,60612,"2020 Harrison
Chicago, IL 60612
(41.88001266600048, -87.68631822699967)",Near West Side,,,,,,
Beauty/Barber Shop,Cut It Out,1741 å_ E. 71st St.,Chicago,IL,60649,"1741 71st St
Chicago, IL 60649
(41.7659961920005, -87.58218932399967)",South Shore,,,,,,
Beauty/Barber Shop,Danny Boy 2 Unlimited Hair,751 E. 65th St.,Chicago,IL,60637,"751 65th St
Chicago, IL 60637
(41.776732161000496, -87.60667663699968)",Woodlawn,,,,,,
Beauty/Barber Shop,Dubose Barber Shop,2225 E. 71st. St.,Chicago,IL,60649,"2225 71st St
Chicago, IL 60649
(41.76611935900047, -87.57050929299965)",South Shore,,,,,,Uptown
Auto Repair Shop,Eddie?s Auto,5833 S. Union,Chicago,IL,60649,"5833 S Union
Chicago, IL 60649
(41.76254109700045, -87.56934633399965)",South Shore,,,,,,
Clinic,Englewood Planned Parenthood of Illinois,6059 S Ashland,Chicagi,IL,60636,"6059 Ashland
Chicagi, IL 60636
(41.77666236500045, -87.66772594899965)",West Englewood,,,,,,Near West Side
CDPH Clinic,Englewood Speciality Clinic,641 W. 63rd Street,Chicago,IL,60621,"641 63rd Street
Chicago, IL 60621
(41.77979320500049, -87.64095807999968)",Englewood,,,,,,Garfield Ridge
Bar,Falcon Inn,1601 E. 63rd Street,Chicago,IL,60615,"1601 63rd Street
Chicago, IL 60615
(41.80229355300048, -87.59993951799964)",Woodlawn,,,,,,
Treatment Center,Family Guidance Center,310 W. Chicago,Chicago,IL,60610,"310 Chicago
Chicago, IL 60610
(41.90544398300045, -87.63214904399968)",Near North Side,,,,,,
Clinic,Friend Family Health Center,5843 S. Western,Chicago,IL,60636,"5843 Western
Chicago, IL 60636
(41.77666236500045, -87.66772594899965)",West Englewood,,,,,,Austin
Clinic,Friend Family Health Center,5635 S. Pulaski Rd.,Chicago,IL,60629,"5635 Pulaski Rd
Chicago, IL 60629
(41.79028026700047, -87.72308050399965)",West Elsdon,,,,,,
Clinic,Friend Family Health Center,2436 W. 47th Street,Chicago,IL,60632,"2436 47th Street
Chicago, IL 60632
(41.80841027700046, -87.68593091999969)",Brighton Park,,,,,,Auburn Gresham
Clinic,Friend Famliy Health Center,800 E. 55th Street,Chicago,IL,60615,"800 55th Street
Chicago, IL 60615
(41.79464404000049, -87.62570638499966)",Washington Park,,,,,,New City
Beauty/Barber Shop,Hair Icon,6454 S. Cottage Grove,Chicago,IL,60637,"6454 Cottage Grove
Chicago, IL 60637
(41.782310872000494, -87.60409768799968)",Woodlawn,,,,,,
Beauty/Barber Shop,Hair Werks,402 E. 79th St.,Chicago,IL,60619,"402 79th St
Chicago, IL 60619
(41.751134022000485, -87.61475745399969)",Greater Grand Crossing,,,,,,Lincoln Park
School,Harold Washington College,30 E. Lake,Chicago,IL,60611,"30 E Lake
Chicago, IL 60611
(41.89503335000046, -87.6223467109997)",Near North Side,,,,,,Lake View
CBO,Haymarket Center,108 North Sangamon St,Chicago,IL,60607,"108 Sangamon St
Chicago, IL 60607
(41.88338126700046, -87.65092590099965)",Near West Side,,,,,,South Lawndale
CBO,Haymarket House,600 W. Washington,Chicago,IL,60661,"600 Washington
Chicago, IL 60661
(41.88249366400049, -87.64274651299968)",Near West Side,,,,,,
Health Center,Heartland Health Center,845 W. Wilson,Chicago,IL,60640,"845 Wilson
Chicago, IL 60640
(41.971470687000476, -87.66114760999966)",Uptown,,,,,,West Town
Health Center,Heartland Health Center,2645 W. Lawrence Ave.,Chicago,IL,60625,"2645 Lawrence Ave
Chicago, IL 60625
(41.968531992000464, -87.69534853899967)",Ravenswood,,,,,,Loop
Health Center,Heartland Health Center,2200 W. Touhy Ave.,Chicago,IL,60645,"2200 Touhy Ave
Chicago, IL 60645
(42.01225018300045, -87.68642063999965)",West Ridge,,,,,,
CBO,Heartland Human Care Services,4411 N. Ravenswood Ave.,Chicago,IL,60640,"4411 Ravenswood Ave
Chicago, IL 60640
(41.96195075200046, -87.67397022899968)",Uptown,,,,,,
CBO,Howard Brown Health Center,4025 N. Sheridan,Chicago,IL,60613,"4025 Sheridan
Chicago, IL 60613
(41.95275240300049, -87.65692860999968)",Uptown,,,,,,Uptown
CBO,Howard Brown Health Center,4025 N. Sheridan Road,Chicago,IL,60613,"4025 Sheridan Road
Chicago, IL 60613
(41.95519031100048, -87.65456003199967)",Uptown,,,,,,Edgewater
CBO,HRDI,11400 S. Michigan,Chicago,IL,60644,"11400 Michigan
Chicago, IL 60644
(41.881172782000476, -87.75881898899968)",Roseland,,,,,,
Clinic,Infectious Disease & Travel Clinic,3000 N. Halsted,Chicago,IL,60657,"3000 Halsted
Chicago, IL 60657
(41.93995201700045, -87.65243587399965)",Lake View,,,,,,
Bar/Club,Jackhammer,6460 N. Clark,Chicago,IL,60626,"6460 Clark
Chicago, IL 60626
(42.00963287000047, -87.66797795999969)",Rogers Park,,,,,,South Shore
Hospital,Jackson Park Hospital,7531 S. Stoney Island,Chicago,IL,60649,"7531 Stoney Island
Chicago, IL 60649
(41.76254109700045, -87.56934633399965)",South Shore,,,,,,Rogers Park
Bar / Club,Jeffery Pub,7041 S Jeffery,Chicago,IL,60649,"7041 Jeffery
Chicago, IL 60649
(41.76254109700045, -87.56934633399965)",South Shore,,,,,,
CBO,Jewish Child & Family Services,216 W. Jackson Blvd.,Chicago,IL,60606,"216 Jackson Blvd
Chicago, IL 60606
(41.87811068700046, -87.63449072999964)",Loop,,,,,,
Motel,Jr's Plaza,3001 W Jackson,Chicago,IL,60612,"3001 Jackson
Chicago, IL 60612
(41.88001266600048, -87.68631822699967)",East Garfield Park,,,,,,Grand Boulevard
Barbershop,Just Like That,4129 - B W Madison,Chicago,IL,60644,"4129 B
Chicago, IL 60644
(41.881172782000476, -87.75881898899968)",West Garfield Park,,,,,,
Health Center,Lawndale Christian Health Center,3860 W. Ogden Ave.,Chicago,IL,60623,"3860 Ogden Ave
Chicago, IL 60623
(41.85237244300049, -87.72159867899967)",North Lawndale,,,,,,Humbolt Park
Self Storage,Life Storage,4014 W Grand,Chicago,IL,60639,"4014 Grand
Chicago, IL 60639
(41.92050377200047, -87.75488675899965)",Humboldt Park,,,,,,West Garfield Park
Self Storage,Life Storage,4500 W Grand,Chicago,il,60639,"4500 Grand
Chicago, il 60639
(41.92050377200047, -87.75488675899965)",Belmont Cragin,,,,,,Roseland
Bar/Club,Lil' Jims,3501 N. Halsted,Chicago,IL,60657,"3501 Halsted
Chicago, IL 60657
(41.93995201700045, -87.65243587399965)",Lake View,,,,,,South Shore
Bar,Lite Inn,3616 W. Division,Chicago,IL,60651,"3616 Division
Chicago, IL 60651
(41.902493725000454, -87.73697664699966)",Humboldt Park,,,,,,Lincoln Park
Barbershop,Locker Room,3370 W 183rd St,Chicago,IL,60429,"3370 183rd St
Chicago, IL 60429
(41.55720148600045, -87.69857773699965)",Outside CCA,,,,,,Near West Side
Clinic,Loop Planned Parenthood of Illinois,18 S Michigan 6th Fl,Chicago,IL,60603,"18 Michigan
Chicago, IL 60603
(41.88079042200047, -87.62899891499967)",Loop,,,,,,Washinton Park
Church,Love of Christ,6740 S. Halsted,Chicago,IL,60621,"6740 Halsted
Chicago, IL 60621
(41.77510250800049, -87.63886642199964)",Englewood,,,,,,East Garfield Park
Bar/Club,Lucky Horseshoe,3169 N. Halsted,Chicago,IL,60657,"3169 Halsted
Chicago, IL 60657
(41.93995201700045, -87.65243587399965)",Lake View,,,,,,Douglas
Record Store,Mac's Record,5425 W Madison,Chicago,IL,60644,"5425 Madison
Chicago, IL 60644
(41.881172782000476, -87.75881898899968)",Austin,,,,,,
Bar/Club,Man's Country,5017 N. Clark,Chicago,IL,60640,"5017 Clark
Chicago, IL 60640
(41.971470687000476, -87.66114760999966)",Uptown,,,,,,
Bar/Club,Mary's Attic,5400 N. Clark,Chicago,IL,60640,"5400 Clark
Chicago, IL 60640
(41.971470687000476, -87.66114760999966)",Edgewater,,* Close to Brown Elephant? Different Neighborhood?,,,,North Lawndale
Barbershop,Masters,342 N Cicero,Chicago,IL,60644,"342 Cicero
Chicago, IL 60644
(41.881172782000476, -87.75881898899968)",Austin,,,,,,Calumet Heights
Clinic,Mile Square Back of the Yards,4630 S. Bishop Plaza,Chicago,IL,60609,"4630 Bishop Plaza
Chicago, IL 60609
(41.81387299200048, -87.65534702799965)",New City,,,,,,Rogers Park?
Clinic,Mile Square Cicero,4747 W. Cermak Rd.,Chicago,IL,60604,"4747 Cermak Rd
Chicago, IL 60604
(41.87814431300046, -87.62918574999969)",Outside CCA,,,,,,South Lawndale
Clinic,Mile Square Health Center,2045 W. Washington,Chicago,IL,60612,"2045 Washington
Chicago, IL 60612
(41.88001266600048, -87.68631822699967)",Near West Side,,,,,,
Clinic,Mile Square South Shore,7131 S. Jeffery  Blvd.,Chicago,IL,60649,"7131 Jeffery Blvd
Chicago, IL 60649
(41.76545595900046, -87.57626234999964)",South Shore,,,,,,
Beauty/Barber Shop,No Other Place,11135 S. Halsted,Chicago,IL,60628,"11135 Halsted
Chicago, IL 60628
(41.69259085400046, -87.62300715199967)",Roseland,,,,,,Near North Side
School,Olive Harvey College,10001 South Woodlawn Ave.,Chicago,IL,60628,"10001 Woodlawn Ave
Chicago, IL 60628
(41.713368586000456, -87.59225910699968)",Pullman,,,,,,
Clinic - Non-Funded,Open Door Clinic,"157 N. Lincoln Ave., Suite 7",Aurora,IL,60505,"157 Lincoln Ave
Aurora, IL 60505
(41.7524105060005, -88.31405041299968)",Outside CCA,,,,,,West Ridge
Church,Orleans Missionary Baptist Church,8001 S. Cottage Grove,Chicago,IL,60619,"8001 Cottage Grove
Chicago, IL 60619
(41.7458432410005, -87.60576617099969)",Chatham,,,,,,
CBO,People for Community Recovery,13200 S. Ellis,Chicago,IL,60627,"13200 Ellis
Chicago, IL 60627
(41.884251330000495, -87.63245118199967)",Loop,,,,,,McKinley Park
Beauty Shop,Perfect Solution Salon,851 E. 79th Street,Chicago,IL,60619,"851 79th Street
Chicago, IL 60619
(41.75127321500048, -87.60356136699966)",Chatham,,,,,,
Restaurant,Pie Hole,737 W. Roscoe,Chicago,IL,60613,"737 Roscoe
Chicago, IL 60613
(41.95275240300049, -87.65692860999968)",Lake View,,,,,,
Beauty/Barber Shop,Plus Hair,229 E. 51st. St.,Chicago,IL,60615,"229 51st St
Chicago, IL 60615
(41.80203156200048, -87.62034000599965)",Washinton Park,,,,,,Belmont Cragin
CBO,Prevention Partnership,5934-36 W. Lake Street,Chicago,IL,60644,"5934 36 W Lake Street
Chicago, IL 60644
(41.88578394400048, -87.62902450699966)",Loop,,,,,,North Lawndale
Community Center,Prius Urgent Care,3650 W. Armitage,Chicago,IL,60647,"3650 Armitage
Chicago, IL 60647
(41.92057329200048, -87.69937931399966)",Logan Square,,,,,,South Shore
CBO,Project VIDA,2659 S. Kedvale,Chicago,IL,60623,"2659 Kedvale
Chicago, IL 60623
(41.85304321700045, -87.71752840199969)",South Lawndale,,,,,,
CBO,Pureto Rican Cultural Center/VIDA SIDA,2703 W. Division,Chicago,IL,60622,"2703 Division
Chicago, IL 60622
(41.90223302400045, -87.68066971999968)",West Town,,,,,,
Community Center,Rogers Park Community Center,1530 W. Morse,Chicago,IL,60626,"1530 Morse
Chicago, IL 60626
(42.00963287000047, -87.66797795999969)",Rogers Park,,,,,,
